CONTRY;CHANGED;USER;CCPU;CCPU_CHANGES;DCPU;DCPU_CHANGES;RCPU;RCPU_CHANGES;X010;X010T_CHANGES;X200_FLASH_TURBE;X200T_CHANGES
Australien;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Belgien;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
Canada;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Czech;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
Danmark;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
England;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
VOSA;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.75.L2;
Frankrig;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
Færøerne;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
Holland;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
Hong-Kong;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Irland;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Israel;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Italien;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
Letland;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
New-Zealand;24-07-2007;;2.00;;D920M;;RC9.10;;V8.00.24;;P9.77.L2;
Norge;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.75.L4;
Schweitz;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L3;
Spanien;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
Sudan;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Sverige;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.65.L1;
ASB(RØD);24-07-2007;;2.00;;B5.05;;RC9.03;;V8.00.24;;M5.63;
Tyskland;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L3;
USA;24-07-2007;;2.00;;D920P / F14.27;;RC9.06;;V8.00.24;;P9.77.L2;
Australien;24-07-2007 12:15:18;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.75.L5;
Australien;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;M10.22;
Australien;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Australien;24-07-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.77.L2;
Australien;03-09-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.80 L2;
Australien;03-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.80 L2;
Australien;03-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.24;;P9.80 L2;
ASB(RØD);10-09-2007;KGS;2.00;;B5.05;;RC9.03;;V8.00.26;;M5.63;
Australien;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Belgien;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Canada;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Czech;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Danmark;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
England;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Frankrig;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Færøerne;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Holland;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Hong-Kong;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.77.L2;
Hong-Kong;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Irland;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Israel;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Italien;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Letland;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
New-Zealand;10-09-2007;KGS;2.00;;D920M;;RC9.10;;V8.00.26;;P9.77.L2;
New-Zealand;10-09-2007;KGS;2.00;;D920M;;RC9.10;;V8.00.26;;P9.83 L2;
Norge;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.75.L4;
Schweitz;10-09-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L3;
Schweitz;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L3;
Spanien;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Sudan;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Sverige;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.65.L1;
Tyskland;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L3;
VOSA;10-09-2007;;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.75.L2;
USA;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.06;;V8.00.26;;P9.83 L2;
VOSA;10-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.75.L2;
VOSA;17-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.83 L2;
Australien;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
Canada;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
England;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
Hong-Kong;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
Irland;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
Israel;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
New-Zealand;26-09-2007;KGS;2.00;;D920M;;RC9.10;;V8.00.26;;P9.84 L2;
Sudan;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
USA;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.06;;V8.00.26;;P9.84 L2;
VOSA;26-09-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L2;
Belgien;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Czech;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Danmark;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Frankrig;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Færøerne;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Holland;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Italien;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Letland;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Spanien;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Sverige;01-10-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Sverige;27-11-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.85 L1;
Belgien;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Czech;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.84 L1;
Czech;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Danmark;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Frankrig;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Færøerne;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Holland;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Italien;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Letland;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Spanien;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
Sverige;05-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.26;;P9.86 L1;
ASB(RØD);06-12-2007;KGS;2.00;;B5.05;;RC9.03;;V8.00.26;;M5.63;
ASB(RØD);17-12-2007;KGS;2.00;;B5.05;;RC9.03;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;M5.63;
ASB(RØD);17-12-2007;KGS;2.00;;B5.05;;RC9.03;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;M5.63;
Australien;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Belgien;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Canada;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Czech;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Danmark;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
England;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Frankrig;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Færøerne;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Holland;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Hong-Kong;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Irland;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Israel;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
